#sigma Vpeak
50.0814 84.3265 
52.0745 86.5822 
54.6779 87.9645 
56.7616 89.3688 
58.8290 92.2451 
61.3696 93.2242 
64.1240 95.2139 
66.7846 97.2460 
70.0094 97.7608 
73.3900 100.907 
77.1844 101.441 
80.7799 104.155 
84.8183 108.076 
88.6253 109.801 
93.5110 112.145 
98.1859 114.538 
103.430 116.983 
109.666 120.112 
115.148 123.978 
120.513 127.294 
126.743 134.195 
133.513 140.726 
139.279 146.024 
145.530 155.574 
152.557 166.627 
158.887 181.314 
165.749 194.195 
173.752 214.685 
181.256 238.594 
190.317 266.569 
197.892 299.401 
204.766 324.076 
212.916 354.508 
220.670 385.755 
230.575 426.458 
240.924 473.951 
251.737 523.960 
264.753 579.245 
276.635 650.588 
289.522 707.932 
303.502 770.331 
317.125 851.613 
330.282 912.115 
346.231 1003.05 
365.318 1114.75 
387.342 1225.89 
411.362 1384.16 
435.453 1498.23 
457.223 1647.60 
480.081 1773.99 
500 1920.19 
