#sigma v_peak
50.1354 87.4865 
52.1269 88.9764 
54.1096 90.8745 
55.8949 91.6450 
58.4937 93.2057 
61.2133 94.3937 
63.7482 96.0012 
66.0656 97.6361 
68.2454 98.4640 
70.7263 100.141 
73.5357 100.141 
76.4567 101.846 
80.0115 103.581 
83.0548 104.901 
87.3406 106.687 
90.8100 108.047 
94.2640 109.887 
98.3270 111.758 
102.565 113.662 
107.508 116.578 
112.142 118.063 
116.976 121.092 
121.425 123.154 
126.453 126.314 
130.838 129.554 
135.814 134.004 
140.295 137.442 
145.632 143.368 
151.416 152.097 
156.921 159.327 
162.098 167.606 
167.991 177.811 
173.815 187.842 
179.550 200.969 
185.474 212.306 
190.973 224.284 
195.679 236.937 
202.136 253.494 
209.484 268.928 
217.452 288.938 
225.357 307.826 
234.308 330.730 
242.432 353.842 
250.025 375.385 
257.855 396.563 
267.229 422.487 
276.943 446.322 
286.081 471.501 
296.481 498.101 
306.263 530.663 
318.945 562.973 
329.469 592.227 
340.339 617.764 
351.568 652.616 
363.168 683.637 
376.370 725.260 
390.052 753.346 
403.576 805.990 
418.926 837.202 
433.451 876.997 
449.208 926.473 
464.783 970.512 
477.786 1003.85 
492.749 1047.13 
