#logM Phi
6.20000 0.000763061 
6.29991 0.000849771 
6.40416 0.000933688 
6.50842 0.00106814 
6.61050 0.00121377 
6.72778 0.00139793 
6.81900 0.00156203 
6.91023 0.00169335 
6.98842 0.00179903 
7.08615 0.00185432 
7.21321 0.00195028 
7.44778 0.00197006 
7.57484 0.00191131 
7.67909 0.00181728 
7.76380 0.00171052 
7.89086 0.00151546 
8.02769 0.00131581 
8.13195 0.00113100 
8.24271 0.000962383 
8.33394 0.000810685 
8.40887 0.000676042 
8.48706 0.000569479 
8.56199 0.000460737 
8.63041 0.000376540 
8.70534 0.000301581 
8.78353 0.000227355 
8.84869 0.000182095 
8.92362 0.000130523 
8.99204 9.74107e-05 
9.05068 7.26984e-05 
9.11584 5.31715e-05 
9.17448 3.81127e-05 
9.24615 2.59746e-05 
9.30805 1.78818e-05 
9.36996 1.19433e-05 
9.42860 7.81765e-06 
9.49701 5.16903e-06 
9.54262 3.48744e-06 
9.59475 2.40087e-06 
9.64036 1.60355e-06 
9.69900 1.09286e-06 
9.73158 7.52357e-07 
9.80326 4.31924e-07 
