#logM Phi
6.20650 0.000444567 
6.25772 0.000504440 
6.30650 0.000556686 
6.34797 0.000614343 
6.38699 0.000657722 
6.43577 0.000725843 
6.48211 0.000783008 
6.52846 0.000857580 
6.58455 0.000877308 
6.63089 0.000890711 
6.67724 0.000925121 
6.73089 0.000911200 
6.79431 0.000870682 
6.85285 0.000838297 
6.91138 0.000777095 
6.97724 0.000714921 
7.03089 0.000667770 
7.07967 0.000605099 
7.12846 0.000544168 
7.16992 0.000493097 
7.20650 0.000450219 
7.24797 0.000398792 
7.29187 0.000355927 
7.32846 0.000310526 
7.37236 0.000264825 
7.41138 0.000232803 
7.44797 0.000206211 
7.48699 0.000174534 
7.52114 0.000153429 
7.54797 0.000136938 
7.58211 0.000116784 
7.61626 9.95965e-05 
7.65528 8.30285e-05 
7.69187 7.02741e-05 
7.72358 5.85840e-05 
7.76260 4.84696e-05 
7.79431 4.04067e-05 
7.82114 3.44599e-05 
7.85285 2.93883e-05 
7.87480 2.54460e-05 
7.90407 2.12130e-05 
7.93333 1.72866e-05 
7.96992 1.39805e-05 
7.99187 1.19229e-05 
8.02114 9.86447e-06 
8.05285 7.56556e-06 
8.08455 5.98106e-06 
8.11382 4.76439e-06 
8.14553 3.76655e-06 
8.16992 2.95521e-06 
8.20163 2.39002e-06 
8.23577 1.90384e-06 
8.27236 1.48246e-06 
8.29919 1.22652e-06 
8.32602 9.91946e-07 
8.34553 7.90164e-07 
8.38699 5.92390e-07 
8.41626 4.50902e-07 
8.44797 3.38044e-07 
8.47480 2.63224e-07 
8.49675 2.08095e-07 
8.52358 1.65764e-07 
8.55285 1.25220e-07 
8.58211 9.89943e-08 
8.59919 8.06708e-08 
8.62358 6.72512e-08 
8.65041 5.69204e-08 
8.67968 4.92848e-08 
8.71382 4.07759e-08 
8.76992 3.10369e-08 
