#logM Phi
6.22479 0.000456353 
6.35868 0.000557202 
6.48760 0.000701561 
6.65620 0.000883319 
6.80496 0.00111217 
6.96364 0.00137896 
7.13223 0.00146633 
7.30083 0.00155924 
7.45455 0.00153547 
7.63306 0.00135794 
7.80165 0.00104590 
7.94050 0.000805557 
8.10413 0.000516015 
8.21322 0.000340854 
8.29752 0.000243123 
8.40661 0.000142027 
8.49587 9.09779e-05 
8.60496 5.15396e-05 
8.71405 2.74577e-05 
8.84298 1.17980e-05 
8.96198 6.09524e-06 
9.05124 2.87180e-06 
9.15537 1.43879e-06 
9.25950 6.08793e-07 
9.37355 2.69744e-07 
9.48265 1.14136e-07 
9.61653 3.34051e-08 
