#z log(rho_BH) upper lower
0.132246 5.70221 5.80841 5.60994
0.257246 5.69459 5.80065 5.59795
0.373188 5.68191 5.78516 5.59495
0.528986 5.66168 5.76971 5.57255
0.673913 5.62897 5.73432 5.5369
0.802536 5.58897 5.69154 5.49265
0.922101 5.54184 5.65513 5.44002
1.23018 5.43411 5.55428 5.32603
1.54734 5.30231 5.44382 5.17833
1.82448 5.14607 5.29285 5.01007
2.03695 4.9989 5.15987 4.86678
2.34308 4.84877 5.02739 4.69323
2.82318 4.59065 4.80246 4.40781
3.32768 4.38945 4.63991 4.173
3.92655 4.19359 4.47874 3.93715
4.53061 4.03716 4.34559 3.76068
