#logMstar occFrac
7.50285 0.0144920 
7.55659 0.0132698 
7.60467 0.0144647 
7.65842 0.0180734 
7.71499 0.0192660 
7.76873 0.0228747 
7.82813 0.0264820 
7.88471 0.0288823 
7.94129 0.0373212 
7.99786 0.0433447 
8.05161 0.0493689 
8.09970 0.0553946 
8.14779 0.0602126 
8.20438 0.0722748 
8.26663 0.0855431 
8.32604 0.0963967 
8.37697 0.108460 
8.43073 0.122939 
8.47317 0.136212 
8.51845 0.150693 
8.56090 0.167590 
8.60052 0.180864 
8.63731 0.195347 
8.67976 0.213452 
8.72787 0.233970 
8.75901 0.250870 
8.79581 0.268976 
8.82694 0.284668 
8.86657 0.306397 
8.90337 0.328126 
8.94017 0.347440 
8.97131 0.363132 
8.99962 0.380032 
9.03642 0.402969 
9.06473 0.423493 
9.09021 0.440395 
9.12985 0.463331 
9.15816 0.485062 
9.18647 0.503171 
9.22044 0.522485 
9.24875 0.541801 
9.28838 0.563530 
9.31387 0.582847 
9.34784 0.605784 
9.37898 0.623892 
9.41578 0.644414 
9.44409 0.661314 
9.47523 0.678214 
9.50920 0.696321 
9.54033 0.714429 
9.56581 0.728914 
9.59695 0.744607 
9.63940 0.761503 
9.67336 0.777195 
9.70733 0.794094 
9.75261 0.809782 
9.78657 0.825474 
9.82619 0.838748 
9.87995 0.854434 
9.93654 0.870119 
9.99596 0.887012 
10.0554 0.902696 
10.1148 0.912342 
10.1714 0.924404 
10.2280 0.934051 
10.3015 0.944901 
10.3807 0.953333 
10.4543 0.960560 
10.5307 0.966578 
10.6127 0.972595 
10.6947 0.978612 
10.7824 0.981004 
10.8531 0.983400 
10.9238 0.985796 
11.0087 0.986981 
11.0964 0.988166 
11.1925 0.990555 
11.3905 1.0 
12.4936 1.0 
