#logMstar occFrac
7.50034 0.234300 
7.52584 0.259655 
7.54284 0.282597 
7.56550 0.305538 
7.58251 0.330896 
7.59951 0.352630 
7.61368 0.371950 
7.63069 0.397308 
7.64486 0.417836 
7.65904 0.438363 
7.67321 0.458891 
7.68738 0.480626 
7.70438 0.502361 
7.71573 0.521681 
7.72706 0.537379 
7.73557 0.550662 
7.74691 0.568775 
7.76391 0.586886 
7.77808 0.606206 
7.78942 0.624319 
7.80076 0.641224 
7.81209 0.655714 
7.82909 0.676240 
7.84326 0.694353 
7.86309 0.717294 
7.88009 0.736613 
7.89426 0.755933 
7.91126 0.772837 
7.93108 0.789740 
7.94525 0.806644 
7.96224 0.823548 
7.98773 0.841657 
8.01321 0.859766 
8.03303 0.874253 
8.05285 0.887533 
8.08116 0.904434 
8.11229 0.916503 
8.13493 0.927366 
8.17171 0.938226 
8.20850 0.949086 
8.25094 0.958736 
8.29904 0.968385 
8.34996 0.975618 
8.39522 0.979229 
8.43143 0.984291 
8.47726 0.987902 
8.51290 0.990791 
8.56042 0.992953 
8.60964 1.0
12.4908 1.0 
