#logM dn/dlogM
6.00144 0.00382438 
6.03250 0.00393620 
6.06977 0.00401283 
6.09958 0.00409083 
6.13188 0.00413069 
6.16915 0.00421111 
6.21387 0.00433448 
6.25860 0.00437694 
6.29835 0.00446220 
6.34059 0.00450586 
6.38532 0.00455000 
6.43750 0.00455097 
6.46980 0.00459531 
6.49713 0.00463999 
6.53441 0.00464070 
6.58411 0.00459747 
6.62635 0.00459826 
6.66611 0.00459901 
6.71332 0.00455612 
6.75309 0.00442797 
6.80031 0.00434491 
6.83014 0.00422254 
6.87238 0.00422327 
6.91463 0.00410452 
6.95936 0.00402749 
6.99913 0.00395183 
7.03890 0.00384068 
7.07617 0.00376849 
7.11842 0.00369773 
7.16067 0.00362830 
7.19795 0.00356010 
7.23771 0.00349321 
7.27997 0.00333067 
7.32222 0.00326813 
7.34956 0.00320657 
7.38933 0.00308672 
7.42412 0.00299984 
7.46141 0.00288768 
7.50118 0.00277975 
7.54343 0.00270159 
7.59315 0.00252716 
7.63540 0.00243272 
7.67269 0.00229740 
7.71246 0.00219048 
7.75721 0.00206870 
7.80195 0.00197246 
7.84918 0.00182752 
7.89890 0.00169325 
7.94364 0.00161448 
7.98590 0.00152470 
8.01574 0.00143985 
8.05551 0.00138603 
8.09528 0.00132152 
8.13007 0.00128433 
8.16488 0.00122453 
8.19719 0.00116750 
8.23448 0.00110256 
8.27177 0.00104123 
8.30657 0.000992751 
8.34387 0.000919766 
8.37121 0.000885342 
8.39856 0.000836061 
8.43337 0.000774587 
8.45824 0.000738492 
8.48310 0.000690740 
8.51295 0.000633847 
8.54776 0.000587242 
8.58506 0.000533760 
8.61490 0.000485135 
8.64723 0.000445181 
8.67956 0.000400778 
8.71439 0.000350602 
8.74175 0.000321721 
8.76662 0.000289623 
8.79648 0.000258251 
8.83627 0.000223773 
8.87360 0.000188412 
8.91838 0.000152688 
8.95570 0.000128560 
8.98557 0.000109281 
9.01792 9.20106e-05 
9.04530 7.82121e-05 
9.06770 6.90742e-05 
9.09507 5.87153e-05 
9.12246 4.89644e-05 
9.14736 4.12248e-05 
9.17971 3.43792e-05 
9.19217 2.97860e-05 
9.21707 2.55622e-05 
9.24196 2.19373e-05 
9.26686 1.77765e-05 
9.29175 1.55503e-05 
9.32411 1.24813e-05 
9.33907 1.05080e-05 
9.36895 8.59701e-06 
9.39135 7.37782e-06 
9.41377 6.09388e-06 
9.43867 4.98553e-06 
9.46855 4.11804e-06 
9.50091 3.30532e-06 
