#logM dn/dlogM
5.99994 0.00985766 
6.05958 0.00976622 
6.10431 0.00976801 
6.16147 0.00958518 
6.21365 0.00958723 
6.26335 0.00949791 
6.31305 0.00949985 
6.35778 0.00950159 
6.40997 0.00932356 
6.46464 0.00897562 
6.51435 0.00864048 
6.57897 0.00831837 
6.62620 0.00793147 
6.67094 0.00756249 
6.72314 0.00714226 
6.77782 0.00681028 
6.83250 0.00643191 
6.88967 0.00607463 
6.93690 0.00573695 
6.98661 0.00547018 
7.03383 0.00531648 
7.09099 0.00521698 
7.16058 0.00507086 
7.21774 0.00492859 
7.26495 0.00492954 
7.31963 0.00483723 
7.37181 0.00474659 
7.41655 0.00461318 
7.45632 0.00452651 
7.50354 0.00435746 
7.55076 0.00423503 
7.60047 0.00399965 
7.65516 0.00370587 
7.69742 0.00356739 
7.74465 0.00333702 
7.79685 0.00309188 
7.84657 0.00292004 
7.89132 0.00267969 
7.94849 0.00250675 
7.99076 0.00232251 
8.05042 0.00213147 
8.11754 0.00191915 
8.18217 0.00176133 
8.24184 0.00158583 
8.29653 0.00146935 
8.34626 0.00131029 
8.39598 0.00119102 
8.44819 0.00108262 
8.49544 0.000956229 
8.54766 0.000836572 
8.59987 0.000746022 
8.65458 0.000640310 
8.69935 0.000565551 
8.75406 0.000480791 
8.80380 0.000412654 
8.83861 0.000378673 
8.87842 0.000321901 
8.92070 0.000273644 
8.97046 0.000223896 
9.01523 0.000190333 
9.05504 0.000157221 
9.09983 0.000128636 
9.14213 0.000105247 
9.17945 8.77722e-05 
9.22175 7.18133e-05 
9.26156 5.87554e-05 
9.29392 4.89988e-05 
9.32627 4.16515e-05 
9.35613 3.54055e-05 
9.38600 2.98097e-05 
9.42083 2.50988e-05 
9.45071 2.07316e-05 
9.49550 1.63256e-05 
