#"log(dn/dlog(M_BH))(M_BH)  created by Plot Digitizer  2.6.8"
#"Date: 5/20/16  1:35:35 PM"
#
#
#74
#M_BH log(dn/dlog(M_BH))
1020.48 -0.450337 
1119.15 -0.407407 
1254.88 -0.362963 
1411.11 -0.322559 
1533.22 -0.276094 
1733.99 -0.227609 
1927.67 -0.185185 
2112.54 -0.146801 
2355.24 -0.102357 
2663.66 -0.0478114 
3099.93 0.0107744 
3546.23 0.0693603 
4246.86 0.144108 
4956.60 0.206734 
5751.93 0.265320 
6412.73 0.305724 
7378.09 0.360269 
8392.16 0.408754 
9655.50 0.457239 
10672.7 0.491582 
11830.9 0.527946 
13002.7 0.564310 
14331.5 0.596633 
16301.3 0.635017 
18122.1 0.667340 
21090.2 0.703704 
23179.1 0.734007 
26668.4 0.764310 
29988.5 0.784512 
34800.4 0.798653 
39245.1 0.808754 
44384.3 0.812795 
50340.3 0.812795 
56284.4 0.804714 
62571.3 0.784512 
68965.6 0.762290 
75148.3 0.740067 
83542.2 0.701684 
92079.6 0.663300 
103840 0.600673 
114452 0.546128 
125788 0.481481 
139838 0.408754 
146390 0.344108 
153248 0.297643 
162276 0.230976 
169394 0.164310 
178859 0.0915825 
187776 0.0127946 
197138 -0.0821549 
202281 -0.162963 
212366 -0.272054 
217284 -0.356902 
224875 -0.435690 
228770 -0.528620 
238122 -0.647811 
244335 -0.738721 
247856 -0.815488 
252872 -0.910438 
260213 -1.01953 
263209 -1.12256 
269304 -1.22963 
275541 -1.34074 
276331 -1.43771 
281922 -1.55488 
285168 -1.74680 
291772 -1.88620 
295977 -2.02559 
301103 -2.18114 
303700 -2.32862 
307196 -2.47811 
309845 -2.64175 
313412 -2.81347 
315211 -2.98923 
