# #ID1 ID2 z_infall, t_infall, delta_t_pair, delta_t_BK, delta_tpair_BK, mstar_primary, mstar_secondary, mvir_primary, mvir_secondary
1981808889 1981808959 2.933608 2.206064 5.219626 0.755438 4.464188 19591833222.225391 6742182808.756889 455531587589.485046 218112325548.505829
1981808792 1981810104 4.542117 1.324257 3.080792 0.185590 2.895202 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1981809936 1981810795 0.557928 8.200334 2.243324 3.015655 -0.772331 282231662588.926636 144803738587.899719 9127261455714.146484 4398167858102.488281
1981809889 1981810849 4.335206 1.401668 3.862883 0.528794 3.334090 3339055894.385054 1486381094.843401 320378111805.095398 133234225576.858856
1981808650 1981811794 0.749984 7.037493 2.114176 3.867690 -1.753515 129594131587.383423 32504177100.077377 4528309449768.870117 1236754131791.575928
1981809013 1981812636 1.309758 4.794270 3.390359 3.389961 0.000399 166595073581.483978 42036810132.732552 7626556080175.778320 1470328713649.833984
1981809115 1981813072 4.335206 1.401668 3.679173 0.462081 3.217093 627262514.061070 333238243.289662 64284651740.449905 32335676392.443283
1981808660 1981813781 4.335206 1.401668 1.157637 0.806264 0.351373 8846826184.929214 2752382614.417830 423299245415.987793 101503087310.388657
1981810355 1981814060 2.645829 2.468587 7.442982 1.441582 6.001400 46204625057.988411 135316903701.658005 636688321954.478638 3163316368783.464355
1981808778 1981815459 2.509348 2.611628 4.657997 0.653473 4.004523 460796510.056703 747136817.965791 20694702467.063786 56014787477.873482
1981813141 1981815719 0.838129 6.586492 3.743699 7.869002 -4.125304 209317973239.877319 59525275287.513481 7067657994089.402344 770555855799.208374
1981809889 1981816042 4.335206 1.401668 7.287654 0.308402 6.979252 3339055894.385054 1486381094.843401 320378111805.095398 133234225576.858856
1981809800 1981816785 1.399205 4.541844 5.588683 2.843886 2.744797 73443256873.548203 12460849892.813084 1937518968147.953369 430947223533.039612
1981810906 1981818362 1.483436 4.323075 3.813236 1.644351 2.168885 69376576553.344833 31119222085.244476 1010754652165.665405 427509975397.147034
1981809013 1981819257 1.588839 4.072332 5.529572 8.126748 -2.597176 120508456504.677094 24605919998.917480 5846367908153.558594 356762862294.896057
1981808889 1981820757 3.998791 1.544709 1.292538 0.462898 0.829640 3705831868.592499 1638563068.908042 129361547952.688477 74936352209.210007
1981813072 1981820764 2.014666 3.264570 1.552210 1.909130 -0.356919 4152548353.552542 928693687.441226 185386307525.983765 44145811564.065262
1981810104 1981824859 4.542117 1.324257 2.147150 0.356771 1.790379 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1981811486 1981824918 3.498869 1.807232 4.023361 0.805219 3.218143 842520402.989237 347353300.395624 68554821780.900940 22824010593.635872
1981819257 1981829929 2.131505 3.087872 2.388412 0.830738 1.557674 5168818835.055154 3309336725.104850 156385936147.179077 108187519124.016647
1981823936 1981830761 0.860927 6.477108 2.241114 2.530390 -0.289276 59480654460.241608 22407219133.083511 1155220734954.606201 489842583057.892517
1981809936 1981833629 1.671233 3.892268 1.856764 1.636500 0.220264 116513736250.382797 25041543633.778137 2720663052614.271484 997851010377.352051
1981809153 1981843588 3.758290 1.662507 2.300955 0.535241 1.765714 2446410660.579450 2011991293.306451 133342477556.271973 69504596665.474747
1981843319 1981843866 3.498869 1.807232 0.897066 0.522201 0.374865 89450499.850751 84267632.864660 16311541470.997387 9989212169.525242
1981815719 1981846379 1.309758 4.794270 1.907226 2.073577 -0.166350 128211195968.794418 44085305195.035225 3708753487392.619629 1325350532333.398682
1981809153 1981857739 1.793287 3.648257 2.403549 2.985148 -0.581599 29060815242.998638 13239731844.002222 998674736020.947510 159917706295.228699
1981821495 1981863233 4.977046 1.182899 3.223194 0.624719 2.598475 422754582.092188 132770911.010946 47336707033.705887 12618325281.690897
1981839323 1981863937 2.933608 2.206064 4.591526 0.869078 3.722447 2364292095.905595 1007884899.764621 147835133297.475464 58150612478.005157
1981815986 1981863979 3.758290 1.662507 6.879103 0.665957 6.213146 694580910.389691 124230918.453654 46347025930.067734 17777063611.500561
1981814060 1981871678 2.520120 2.599848 1.018085 0.833857 0.184228 52080329673.782646 38634195015.402969 774558710638.029541 237110702377.283478
1981823936 1981872488 4.754564 1.251895 1.931880 0.397097 1.534783 125771524.859451 122343700.143222 22820989489.535477 12123572869.138672
1981814983 1981885004 1.399205 4.541844 2.580069 1.837998 0.742071 5529950280.570156 3494951985.816854 239473979185.202698 93347707833.592682
1981846379 1981890562 4.977046 1.182899 1.501120 0.460515 1.040605 1309270885.343643 507334363.899989 112258953014.838791 44625079433.911018
1981810906 1981903793 2.131505 3.087872 3.149357 1.502885 1.646473 24124478754.208622 2714173169.021048 298953540932.879333 89572629569.805054
1981880058 1981952049 4.542117 1.324257 0.693341 0.515292 0.178049 32406498.804109 16930144.821616 8215459100.464542 3268680375.105594
1981818362 1981962556 2.131505 3.087872 1.732332 1.317131 0.415201 34947809618.926781 5167093981.484529 521109914991.044006 185568002695.027435
1981898886 1981969718 4.134697 1.484127 1.306911 0.779607 0.527304 2009701917.773989 669421262.620891 124912112099.971466 33549723155.773979
1981889933 1981970272 1.140479 5.337826 1.494385 1.744693 -0.250308 42615060520.029160 13459181047.402693 1052155146175.807495 562164810355.073120
1981810849 1981985461 4.335206 1.401668 3.786626 0.528794 3.257833 3339055894.385054 1486381094.843401 320378111805.095398 133234225576.858856
1981937438 1981986808 2.253427 2.919588 2.157076 2.487871 -0.330795 59190129757.025551 20973974971.801548 1374852315318.696045 208593232185.946503
1981823911 1982010926 4.542117 1.324257 4.525713 0.386120 4.139593 497979094.948267 194050258.537088 52195128260.178345 31457572301.918015
1981967378 1982028633 1.483436 4.323075 1.710021 1.452635 0.257386 1241920347.896365 801693943.746165 90021813142.299820 45388752800.787651
1981810971 1982033306 4.542117 1.324257 4.044407 0.647075 3.397332 375577574.871465 219169450.585399 53409944444.508224 15717832594.593290
1981846379 1982041737 4.977046 1.182899 1.572996 0.460515 1.112481 1309270885.343643 507334363.899989 112258953014.838791 44625079433.911018
1981810971 1982067947 4.542117 1.324257 0.861283 0.647075 0.214208 375577574.871465 219169450.585399 53409944444.508224 15717832594.593290
1981990054 1982068763 3.944742 1.569951 1.076403 0.507932 0.568470 212428164.484402 65205992.455989 40674026058.065720 3124109923.979706
1981809889 1982072103 1.671233 3.892268 1.602225 2.221830 -0.619605 23589581003.251072 8637917932.417652 1326666578131.713135 327826565044.299072
1981809606 1982077919 1.671233 3.892268 2.598706 3.115516 -0.516811 32921769931.775497 24447335181.181694 710944190220.211426 209234391177.400146
1981835310 1982085690 1.483436 4.323075 3.170937 2.840382 0.330555 28436246360.754841 7881146686.594812 387653961960.006531 81074089179.693466
1981814020 1982095553 4.754564 1.251895 1.313524 0.790167 0.523357 1973829442.232097 361212586.809844 128807946943.722488 27566588650.751534
1981809606 1982097511 2.253427 2.919588 1.478320 1.145562 0.332758 8326127899.110975 2783844476.459648 249880844754.561798 99491971902.317795
1982096180 1982104744 2.933608 2.206064 0.650958 0.603442 0.047516 1035043930.464405 912498220.934478 98694653607.132339 65991226591.492271
1981812095 1982117049 1.483436 4.323075 3.071711 2.499750 0.571961 10039824333.637096 816478387.122832 255330197060.425262 62406983553.046875
1982097511 1982120561 2.253427 2.919588 0.772117 1.145562 -0.373445 8326127899.110975 2783844476.459648 249880844754.561798 99491971902.317795
1981879344 1982125864 0.695807 7.338721 1.606435 2.685540 -1.079106 34964843517.845848 28345945882.271767 664104426625.696777 315016511635.559509
1981810590 1982129504 3.410939 1.861082 1.328423 0.536706 0.791716 2844497698.069274 1496841708.886281 122362839947.505020 75228062925.913437
1981823936 1982145122 3.758290 1.662507 2.440557 0.688277 1.752279 713811298.109588 419072572.985709 85077898035.788818 31194717705.029545
1981809153 1982151999 4.977046 1.182899 0.434349 0.380452 0.053897 563874630.291112 268300106.176881 40718308400.806816 21198561540.165520
1981969718 1982171928 4.134697 1.484127 0.737483 0.779607 -0.042124 2009701917.773989 669421262.620891 124912112099.971466 33549723155.773979
1981811918 1982173321 3.618081 1.738235 0.871385 0.721760 0.149625 301776305.162959 249900869.409611 42807329875.838638 15643498408.428596
1981959931 1982176085 4.754564 1.251895 0.285495 0.684880 -0.399385 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1981825706 1982191026 1.793287 3.648257 6.661679 1.704453 4.957226 24787723528.140587 6700344037.669868 493534862916.082214 156908761898.517059
1982168562 1982195094 4.335206 1.401668 5.488216 0.528794 4.959423 3339055894.385054 1486381094.843401 320378111805.095398 133234225576.858856
1981908617 1982195215 4.977046 1.182899 1.031753 0.426804 0.604949 49873015.063853 27056300.404802 11993966789.766403 5296489572.899599
1982145122 1982196924 3.758290 1.662507 2.064407 0.688277 1.376129 713811298.109588 419072572.985709 85077898035.788818 31194717705.029545
1981889045 1982199796 3.944742 1.569951 1.061611 0.664057 0.397554 109741575.047432 40876009.407844 24646665932.449364 8770798678.590225
1981813141 1982208974 3.998791 1.544709 2.137399 0.630647 1.506752 1305976189.452614 739098920.867852 105071915868.063385 39205472756.486031
1981823936 1982214389 4.754564 1.251895 4.903522 0.175214 4.728309 125771524.859451 122343700.143222 22820989489.535477 12123572869.138672
1981828476 1982217213 2.786739 2.333960 1.133542 1.217301 -0.083759 739710884.212102 359562688.906721 58388673810.299232 36046362417.318031
1982113872 1982217776 2.171713 3.030655 7.147773 0.980033 6.167740 32439698749.479694 8280842249.076195 365905109840.718445 126999727278.693390
1982096562 1982218413 4.542117 1.324257 0.567554 0.572934 -0.005380 1918478437.370355 597875855.674020 177893389149.253540 61358968708.084579
1981808889 1982220241 3.998791 1.544709 0.682434 0.462898 0.219536 3705831868.592499 1638563068.908042 129361547952.688477 74936352209.210007
1981809013 1982228270 1.588839 4.072332 3.137783 11.057609 -7.919826 120508456504.677094 18446582828.027779 5846367908153.558594 260848027936.550537
1981809800 1982236307 1.399205 4.541844 5.590771 2.843886 2.746885 73443256873.548203 12460849892.813084 1937518968147.953369 430947223533.039612
1981871678 1982238544 2.520120 2.599848 0.866635 1.240101 -0.373467 52080329673.782646 38634195015.402969 774558710638.029541 237110702377.283478
1981809097 1982241422 1.588839 4.072332 3.268999 2.973112 0.295887 45550271027.791069 10203886379.416954 1173880289918.860352 215719893544.512665
1981850100 1982247698 2.786739 2.333960 0.853967 0.657053 0.196914 231623448.082223 196268684.225719 28579817347.070686 18292001988.048115
1981860396 1982249960 1.185305 5.184688 1.202508 1.696804 -0.494296 15470594803.765718 17917978924.976185 634503496823.069336 337322609740.853516
1981809606 1982252697 1.793287 3.648257 1.828194 1.453638 0.374556 17828808578.177143 35455070302.047417 364451341588.320984 1396766198234.574463
1982210727 1982254597 4.542117 1.324257 3.191628 0.780128 2.411500 252596942.592209 79277335.005720 37295678321.814728 8679548733.115126
1982192857 1982266521 3.410939 1.861082 1.365938 0.708395 0.657542 1201908846.867969 879319590.360139 114003493376.462738 46923386857.779236
1982187484 1982267774 4.134697 1.484127 0.850006 0.755703 0.094304 284846062.254427 95980769.645320 22829042197.968536 6382376779.214142
1982168562 1982268658 1.671233 3.892268 2.965752 2.221830 0.743922 23589581003.251072 8637917932.417652 1326666578131.713135 327826565044.299072
1981906466 1982274421 2.253427 2.919588 1.071746 1.057159 0.014588 1372550232.147757 996082610.670407 107655136573.107239 47931299509.305809
1981825706 1982276881 3.498869 1.807232 1.124518 0.598800 0.525718 194872527.152604 70269150.587806 27744380271.011559 13874364812.643837
1981817577 1982278772 2.131505 3.087872 1.728657 1.604161 0.124497 8028045003.218307 5113602079.073936 425954778973.001892 117428361875.759720
1981849904 1982286804 3.410939 1.861082 4.341150 0.735158 3.605992 233215980.657927 154543636.190350 42023583726.854729 16431945751.206593
1982090828 1982290180 4.542117 1.324257 1.355832 0.347763 1.008069 47991795.470578 18096388.918252 14478109183.009367 4343394516.808760
1982217776 1982291393 3.944742 1.569951 6.733199 0.604976 6.128223 813193085.321634 404456128.364220 48797211237.199188 26452797784.632790
1981808778 1982303878 2.509348 2.611628 0.899227 0.653473 0.245753 460796510.056703 747136817.965791 20694702467.063786 56014787477.873482
1982067555 1982305961 3.498869 1.807232 0.934923 0.460841 0.474082 49752796.684695 47476571.261522 11804289271.791674 8778170853.018026
1982010926 1982307286 2.933608 2.206064 0.684877 1.037859 -0.352983 3356624296.611000 461430373.154731 118147704110.800430 36720007581.825714
1981810104 1982314164 4.542117 1.324257 2.020294 0.356771 1.663523 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1981967581 1982320786 0.838129 6.586492 2.405437 5.242731 -2.837294 19916820336.589127 11239549426.980278 486899151788.527954 83985983319.887039
1981985461 1982321178 4.335206 1.401668 2.118362 0.528794 1.589569 3339055894.385054 1486381094.843401 320378111805.095398 133234225576.858856
1981808889 1982324969 3.998791 1.544709 1.064193 0.462898 0.601295 3705831868.592499 1638563068.908042 129361547952.688477 74936352209.210007
1982238544 1982326752 4.977046 1.182899 1.400227 0.320412 1.079815 634760870.361213 838205612.915048 82032094335.658661 55320027464.842697
1981811283 1982331993 2.645829 2.468587 1.323497 1.659503 -0.336006 5162570336.473543 948350455.389002 246304793425.947998 65389518426.603989
1982169878 1982336983 4.754564 1.251895 1.478091 0.365377 1.112714 54057175.985277 72177661.351075 9025800500.110748 15017159226.771019
1981810355 1982357852 2.645829 2.468587 7.315232 4.176918 3.138314 46204625057.988411 10386319263.863998 636688321954.478638 45531877250.922638
1982324309 1982363368 4.754564 1.251895 8.701686 0.477246 8.224440 134204001.517809 75586159.231653 19391583920.614380 7939526873.811379
1982190331 1982365447 2.786739 2.333960 2.607354 0.714140 1.893214 815014728.666663 714777410.483848 96226863172.037598 54344946829.934151
1981985461 1982368750 4.335206 1.401668 0.570928 0.528794 0.042135 3339055894.385054 1486381094.843401 320378111805.095398 133234225576.858856
1981959931 1982369329 4.754564 1.251895 0.284618 0.684880 -0.400262 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1981814020 1982370076 4.754564 1.251895 6.619395 0.790167 5.829228 1973829442.232097 361212586.809844 128807946943.722488 27566588650.751534
1981911535 1982385665 2.978776 2.169042 6.612825 1.277978 5.334847 10068053629.829418 1225144657.300566 293856553327.100281 68689950155.690979
1981813063 1982388299 3.944742 1.569951 1.154034 0.390121 0.763913 104037682.656026 107831029.735342 13769499775.162580 10654130384.451620
1982095552 1982391596 4.754564 1.251895 2.677339 0.790167 1.887172 1973829442.232097 361212586.809844 128807946943.722488 27566588650.751534
1981828476 1982394848 1.185305 5.184688 0.919946 1.696804 -0.776858 15470594803.765718 17917978924.976185 634503496823.069336 337322609740.853516
1981809606 1982400761 2.253427 2.919588 1.639521 1.145562 0.493959 8326127899.110975 2783844476.459648 249880844754.561798 99491971902.317795
1982010926 1982408336 2.933608 2.206064 3.347480 1.037859 2.309620 3356624296.611000 461430373.154731 118147704110.800430 36720007581.825714
1982033306 1982410532 4.542117 1.324257 3.268595 0.647075 2.621520 375577574.871465 219169450.585399 53409944444.508224 15717832594.593290
1981809025 1982418699 2.786739 2.333960 1.374245 0.831526 0.542719 2199177167.332144 1052698107.647336 136896890830.024185 62011887494.871155
1982312484 1982429998 1.399205 4.541844 3.717289 1.597134 2.120155 35666644388.717430 16094832220.537479 794740306734.474976 376446689654.862915
